iter	RMSE
350	59.73876681
351	59.69877431
352	59.64092678
353	59.56881513
354	59.56616843
355	59.53422104
356	59.48210996
357	59.45638301
358	59.36854831
359	59.28994714
360	59.23888432
361	59.17961082
362	59.13412285
363	59.08788023
364	59.05754998
365	59.02144622
366	58.95882726
367	58.9004488
368	58.83962955
369	58.80381977
370	58.75661099
371	58.73614295
372	58.65168335
373	58.60800973
374	58.55245836
375	58.51751414
376	58.42289871
377	58.32583938
378	58.24595399
379	58.17048022
380	58.12453413
381	58.06329876
382	57.99927247
383	57.94121828
384	57.89677609
385	57.86458525
386	57.79105232
387	57.70131783
388	57.64882278
389	57.61566909
390	57.57608931
391	57.52663416
392	57.52170243
393	57.47988173
394	57.47812266
395	57.45150584
396	57.4481767
397	57.40860757
398	57.35251687
399	57.31845771
400	57.27937815
401	57.27563034
402	57.24702915
403	57.20723312
404	57.1382578
405	57.09070673
406	57.02143099
407	57.01825935
408	57.01679703
409	57.01524193
410	56.95414246
411	56.90955629
412	56.87072162
413	56.7687599
414	56.71602499
415	56.68187451
416	56.59813424
417	56.59663699
418	56.54866427
419	56.49856564
420	56.43400168
421	56.39949347
422	56.36638325
423	56.35389539
424	56.32861488
425	56.27993928
426	56.23467843
427	56.154719
428	56.09138319
429	56.05676174
430	56.02279045
431	55.98644488
432	55.92437766
433	55.86802247
434	55.86649676
435	55.84477081
436	55.83161631
437	55.80021009
438	55.75554604
439	55.71961981
440	55.69761547
441	55.65642982
442	55.62385998
443	55.58687573
444	55.53344197
445	55.48316454
446	55.45893635
447	55.40619279
448	55.36887409
449	55.32090787
450	55.27015688
451	55.22648856
452	55.22453604
453	55.22355728
454	55.16867398
455	55.13550905
456	55.09653752
457	55.06412463
458	54.97568662
459	54.94411789
460	54.91073348
461	54.87000684
462	54.82370598
463	54.77563972
464	54.70306924
465	54.67806635
466	54.61405756
467	54.57927307
468	54.55904109
469	54.52194956
470	54.46725591
471	54.41351395
472	54.3820772
473	54.34781911
474	54.30813046
475	54.28552352
476	54.23720379
477	54.21000529
478	54.15909534
479	54.13014266
480	54.07758345
481	54.0205247
482	53.96706323
483	53.92809983
484	53.88791328
485	53.84307749
486	53.81591692
487	53.74986109
488	53.71935058
489	53.70320042
490	53.65585678
491	53.60477018
492	53.59022316
493	53.5430953
494	53.51000474
495	53.47813482
496	53.47654688
497	53.45714726
498	53.42104074
499	53.41950679
500	53.39371168
501	53.39226192
502	53.36289968
503	53.32888466
504	53.30117834
505	53.2352148
506	53.173338
507	53.13728002
508	53.10916763
509	53.04753267
510	53.00106668
511	52.95444005
512	52.92314279
513	52.89789255
514	52.88077423
515	52.84820655
516	52.81963102
517	52.78285022
518	52.75626167
519	52.73286812
520	52.68012671
521	52.62376875
522	52.58295665
523	52.55886555
524	52.53071286
525	52.49697038
526	52.48449766
527	52.45858549
528	52.42844928
529	52.38301691
530	52.35792227
531	52.31750594
532	52.27345028
533	52.25115757
534	52.22687087
535	52.20969532
536	52.17850555
537	52.15117578
538	52.13789928
539	52.09235887
540	52.04630256
541	52.02391524
542	51.9998457
543	51.98651204
544	51.94653985
545	51.92407104
546	51.86514897
547	51.82398601
548	51.79548456
549	51.79450928
550	51.79299445
551	51.74584944
552	51.70969422
553	51.68813531
554	51.66613884
555	51.63299796
556	51.63157659
557	51.60849053
558	51.60734433
559	51.57237667
560	51.54403545
561	51.51184738
562	51.48195859
563	51.43707689
564	51.40944222
565	51.38221519
566	51.33227831
567	51.28210171
568	51.24348736
569	51.22482457
570	51.17129921
571	51.12835688
572	51.06670493
573	51.03079242
574	50.9834026
575	50.97610537
576	50.95384884
577	50.89182999
578	50.83460268
579	50.79091145
580	50.77661063
581	50.74327778
582	50.69173657
583	50.64927669
584	50.61288771
585	50.58593438
586	50.56589654
587	50.55294563
588	50.52787736
589	50.50247664
590	50.46137877
591	50.43246947
592	50.39675462
593	50.36985691
594	50.33722667
